Date,Shallot
2020-01-10,20000
2020-01-11,20000
2020-01-12,22000
2020-01-13,18000
2020-01-14,18000
2020-01-15,19000
2020-01-16,20000
2020-01-17,21000
2020-01-18,20000
2020-01-19,20000
2020-01-20,21000
2020-01-21,22000
2020-01-22,21000
2020-01-23,22000
2020-01-24,22000
2020-01-25,22000
2020-01-26,22000
2020-01-27,20000
2020-01-28,20000
2020-01-29,21000
2020-01-30,22000
2020-01-31,22000
